,P12,P16,P20,P22,P30,P32,P36,P40,P44,P50,P66,P100,P200
P12,41.0,30.0,24.0,22.0,16.0,15.0,13.0,12.0,11.0,9.0,7.0,4.0,2.0
P16,21.0,31.0,18.0,16.0,16.0,15.0,13.0,12.0,11.0,9.0,7.0,4.0,2.0
P20,16.0,19.0,25.0,12.0,16.0,15.0,13.0,12.0,11.0,10.0,7.0,5.0,2.0
P22,14.0,14.0,14.0,22.0,12.0,13.0,12.0,12.0,11.0,9.0,7.0,4.0,2.0
P30,16.0,10.0,16.0,9.0,16.0,9.0,10.0,12.0,9.0,9.0,7.0,4.0,2.0
P32,10.0,15.0,9.0,8.0,8.0,15.0,7.0,9.0,8.0,7.0,7.0,4.0,2.0
P36,13.0,10.0,7.0,7.0,8.0,9.0,13.0,6.0,6.0,7.0,7.0,4.0,2.0
P40,8.0,12.0,12.0,6.0,8.0,9.0,8.0,12.0,6.0,6.0,7.0,4.0,2.0
P44,7.0,8.0,7.0,11.0,6.0,7.0,7.0,7.0,11.0,4.0,7.0,4.0,2.0
P50,7.0,7.0,10.0,5.0,6.0,5.0,5.0,8.0,6.0,10.0,4.0,5.0,2.0
P66,7.0,4.0,4.0,7.0,5.0,7.0,4.0,2.0,7.0,3.0,7.0,2.0,2.0
P100,3.0,4.0,5.0,2.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,5.0,2.0
P200,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
